3RUL,4setting1,4setting2,1setting3,1s1,3s2,4s3,3s4,1s5,1s6,4s7,4s8,1s9,1s10,5s11,6s12,4s13,1s14,3s15,1s16,4s17,1s18,1s19,6s20,2s21
6RUL,4setting1,8setting2,1setting3,1s1,5s2,7s3,4s4,1s5,1s6,5s7,2s8,4s9,1s10,3s11,5s12,2s13,4s14,5s15,1s16,7s17,1s18,1s19,5s20,5s21
2RUL,5setting1,4setting2,1setting3,1s1,3s2,5s3,3s4,1s5,1s6,6s7,1s8,7s9,1s10,3s11,4s12,2s13,7s14,2s15,1s16,7s17,1s18,1s19,4s20,2s21
3RUL,3setting1,3setting2,1setting3,1s1,8s2,8s3,5s4,1s5,1s6,6s7,1s8,7s9,1s10,4s11,5s12,1s13,7s14,4s15,1s16,7s17,1s18,1s19,5s20,5s21
5RUL,5setting1,6setting2,1setting3,1s1,3s2,2s3,4s4,1s5,1s6,2s7,1s8,5s9,1s10,5s11,5s12,1s13,5s14,4s15,1s16,5s17,1s18,1s19,5s20,4s21
3RUL,5setting1,1setting2,1setting3,1s1,3s2,4s3,6s4,1s5,1s6,2s7,4s8,1s9,1s10,4s11,1s12,4s13,1s14,5s15,1s16,5s17,1s18,1s19,4s20,2s21
5RUL,6setting1,3setting2,1setting3,1s1,6s2,3s3,6s4,1s5,1s6,6s7,2s8,2s9,1s10,2s11,2s12,3s13,2s14,3s15,1s16,4s17,1s18,1s19,5s20,4s21
1RUL,5setting1,2setting2,1setting3,1s1,5s2,5s3,5s4,1s5,1s6,3s7,3s8,1s9,1s10,5s11,4s12,3s13,1s14,7s15,1s16,1s17,1s18,1s19,1s20,4s21
3RUL,3setting1,7setting2,1setting3,1s1,6s2,2s3,3s4,1s5,1s6,7s7,7s8,8s9,1s10,3s11,7s12,8s13,8s14,3s15,1s16,8s17,1s18,1s19,5s20,4s21
4RUL,4setting1,2setting2,1setting3,1s1,4s2,3s3,6s4,1s5,1s6,8s7,2s8,4s9,1s10,3s11,6s12,1s13,4s14,3s15,1s16,7s17,1s18,1s19,6s20,6s21
4RUL,4setting1,5setting2,1setting3,1s1,3s2,3s3,5s4,1s5,1s6,6s7,2s8,5s9,1s10,4s11,6s12,1s13,5s14,3s15,1s16,5s17,1s18,1s19,2s20,4s21
2RUL,4setting1,3setting2,1setting3,1s1,2s2,4s3,6s4,1s5,1s6,3s7,4s8,1s9,1s10,3s11,4s12,4s13,1s14,4s15,1s16,2s17,1s18,1s19,8s20,3s21
2RUL,4setting1,1setting2,1setting3,1s1,7s2,8s3,4s4,1s5,1s6,3s7,1s8,5s9,1s10,5s11,5s12,1s13,5s14,7s15,1s16,5s17,1s18,1s19,6s20,6s21
2RUL,5setting1,3setting2,1setting3,1s1,3s2,3s3,3s4,1s5,1s6,4s7,1s8,4s9,1s10,6s11,8s12,2s13,4s14,4s15,1s16,5s17,1s18,1s19,3s20,2s21
3RUL,4setting1,5setting2,1setting3,1s1,4s2,3s3,5s4,1s5,1s6,5s7,4s8,1s9,1s10,6s11,4s12,4s13,1s14,6s15,1s16,4s17,1s18,1s19,5s20,4s21
3RUL,5setting1,3setting2,1setting3,1s1,4s2,4s3,4s4,1s5,1s6,3s7,3s8,2s9,1s10,5s11,3s12,3s13,2s14,4s15,1s16,5s17,1s18,1s19,3s20,7s21
6RUL,4setting1,1setting2,1setting3,1s1,6s2,3s3,5s4,1s5,1s6,4s7,1s8,6s9,1s10,3s11,7s12,1s13,6s14,4s15,1s16,5s17,1s18,1s19,6s20,4s21
3RUL,2setting1,3setting2,1setting3,1s1,5s2,4s3,3s4,1s5,1s6,4s7,6s8,8s9,1s10,2s11,3s12,5s13,8s14,3s15,1s16,7s17,1s18,1s19,6s20,4s21
2RUL,3setting1,7setting2,1setting3,1s1,2s2,6s3,6s4,1s5,1s6,2s7,4s8,1s9,1s10,5s11,2s12,4s13,1s14,5s15,1s16,4s17,1s18,1s19,2s20,1s21
4RUL,5setting1,1setting2,1setting3,1s1,5s2,3s3,4s4,1s5,1s6,5s7,4s8,2s9,1s10,4s11,5s12,3s13,2s14,6s15,1s16,5s17,1s18,1s19,7s20,3s21
